id,emplacement
abmi,F60
abylsen,B2
accenture,C10 + C20
acoem,F4
adaming,H4
agap2,H60
akka,G40
alten,A3
altersol,B5
altran,H50
amiltone,PM2
anrt,G30
anssi,G4
apave,H20
areva,F10
arkema,C3
assystem,B40
astek,A20
asymptote,H20
atlanticinge,H2
ausy,F3
beijaflore,E20
biomerieux,C60
bilfinger,B10
blbconstructions,H5
bobst,B50
boccard,C20
bouygues,C2
bureaualpes,F1
capgemini,C6
capgeconsulting,A4
casino,C6
cgi,A40+A50
clemessy,G10
clemessyservices,B5
colas,E50
csc,D1
danone,C10
dcns,G40
decathlon,G3
devoteam,C5
dimosoft,F20
econocom,D50
edf,G50
egide,E20
egis,C40
eiffage,E40
ekium,A30
elcia,B60
elis,A10
elsys,G2
ernstyoung,D3
euroengineering,G4
euroinfo,C40
expectra,H30
extia,B70
faurecia,A20
fiducial,G1
gcat,D50
gcc,F1
gemalto,G10
generalelectric,C2
goconcept,B30
groupeadf,G3
groupehn,H1
volvo,H50
gse,F30
hexcel,D40
homeserve,A30
ikom,H40
ikos,F3
intrasec,H3
itron,H10
jtekt,A4
keyence,C7
klee,B20
kpmg,E1
loreal,D10
lauralba,PM3
leongrosse,F20
lilly,F30
margo,H60
marine,C30
mars,D30
mbda,D4
mcigroupe,F40
mcainge,F40
mediane,PM1
mentor,B70
migso,G5
michelin,D10
msf,SI5
nationalinst,F4
nge,G2
novonord,G7
orange,H1
orbium,A40
procter,E10
pellenc,H40
plastico,A1
protectic,H6
qualiconsult,F5
radiall,SI2
redex,D2
reel,C50
renault,G1
rte,F2
safran,E3
saintgobain,E1+E2
sanofi,H5
schneider,D2+D3
seb,E40
sentelis,C4
servair,C30
setec,D4
sii,H4
smac,G20
sncf,E3
sogeti,C5
socotec,D40
solutec,E30
solvay,D1
solystic,A2
sopra steria,B1
soprema,C1
spcconsultants,C3
spiebat,G6
systra,E4
talan,A10
technology,A50
technord,H3
thales,B4
veolia,B1
viveris,B3
vulcain,E2
wavestone,D20
worldline,F50
wair,ST6
urgotech,ST4
acuity,ST2
dawex,ST7
jobglober,ST5
bootstart,ST3
usercube,ST1
enoptea,ST6
cellance,ST4
attijari,CM2
pharma5,CM1
ernstma,CM7
p&g,CM6
centraledanone,CM5
banquepopulaire,CM3
cosumar,CM4